"Data_bs....1","Data_bs..D210000..재무상태표..유동.비유동법...연결...Statement.of.financial.position..current.non.current...Consolidated.financial.statements..Unit..KRW.","Data_bs....3","Data_bs....4","Data_bs....5","Data_bs....6","Data_bs....7","Data_bs....8","Data_bs.20231231","Data_bs.20221231","Data_bs.20211231","Data_bs.20201231","Data_bs.20191231","Data_bs.20181231","Data_bs.20171231","Data_bs.20161231"
NA,"concept_id","label_ko","label_en","class0","class1","class2","class3","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"ifrs-full_CurrentAssets","유동자산","Current assets","재무상태표 [개요]","자산 [개요]","유동자산",NA,"237700038220","227527470560","220198640064","222743490424","235456988153","227887463293","234500029735","151491847872"
1,"ifrs-full_CashAndCashEquivalents","현금및현금성자산","Cash and cash equivalents","재무상태표 [개요]","자산 [개요]","유동자산","현금및현금성자산","72317114790","34347103567","60479642642","58596430958","37779182534","40614514850","31588170227","35730376719"
2,"ifrs-full_OtherCurrentFinancialAssets","기타유동금융자산","Other current financial assets","재무상태표 [개요]","자산 [개요]","유동자산","기타유동금융자산","17088692841","74015677255","61257147414","62060207190","82949067931","63444816506","98442201326","31176260526"
3,"ifrs-full_TradeAndOtherCurrentReceivables","매출채권 및 기타채권","Trade and other current receivables","재무상태표 [개요]","자산 [개요]","유동자산","매출채권 및 기타채권","73792040829","66127003896","60866331932","61425921678","79441838823","79057837892","66444843150","57670873952"
4,"ifrs-full_Inventories","재고자산","Current inventories","재무상태표 [개요]","자산 [개요]","유동자산","재고자산","70697183860","46783642034","36243977397","39504165702","33430792052","43717602702","36606243054","26577326534"
5,"ifrs-full_OtherCurrentAssets","기타유동자산","Other current assets","재무상태표 [개요]","자산 [개요]","유동자산","기타유동자산","3804473717","3235146395","1351008496","976926002","1855585490","1052691343","1418571978","337010141"
6,"ifrs-full_CurrentTaxAssets","당기법인세자산","Current tax assets","재무상태표 [개요]","자산 [개요]","유동자산","당기법인세자산","532183","3018897413","532183","179838894","521323","0","0",NA
7,"ifrs-full_NoncurrentAssets","비유동자산","Non-current assets","재무상태표 [개요]","자산 [개요]","비유동자산",NA,"327272370401","233608988492","227605846875","211064309768","140900493593","142959969186","132725103693","173112688778"
8,"ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome","기타포괄손익-공정가치 측정 금융자산","Non-current financial assets measured at fair value through other comprehensive income","재무상태표 [개요]","자산 [개요]","비유동자산","기타포괄손익-공정가치 측정 금융자산","36728884322","29861266787","24613751127","26917378766","17070195098","13740748230","9219019530","6893292430"
9,"ifrs-full_InvestmentAccountedForUsingEquityMethod","관계기업투자주식","Investments accounted for using equity method","재무상태표 [개요]","자산 [개요]","비유동자산","관계기업투자주식","2238182596","3434322194","5948357303","6082628571","0","9886571567","9609969223","8437279616"
10,"ifrs-full_OtherNoncurrentFinancialAssets","기타비유동금융자산","Other non-current financial assets","재무상태표 [개요]","자산 [개요]","비유동자산","기타비유동금융자산","36022571851","23285266444","20730790554","16777376896","13169516859","12872437777","3128916860","6068537893"
11,"ifrs-full_PropertyPlantAndEquipment","유형자산","Property, plant and equipment","재무상태표 [개요]","자산 [개요]","비유동자산","유형자산","169521972249","147764235316","139673538912","125177158166","92308556874","96772494841","103746340780","142170913278"
12,"ifrs-full_IntangibleAssetsOtherThanGoodwill","무형자산","Intangible assets other than goodwill","재무상태표 [개요]","자산 [개요]","비유동자산","무형자산","56477819620","15702477414","18138183668","16972837877","5464652695","5581168923","6137025678","6442337293"
13,"ifrs-full_RightofuseAssets","사용권자산","Right-of-use assets","재무상태표 [개요]","자산 [개요]","비유동자산","사용권자산","18808515206","3388444744","3176986567","5773611794","6906243395","0","0",NA
14,"ifrs-full_InvestmentProperty","투자부동산","Investment property","재무상태표 [개요]","자산 [개요]","비유동자산","투자부동산","1232640575","3772961269","9130016519","9397716358","0","0",NA,NA
15,"ifrs-full_DeferredTaxAssets","이연법인세자산","Deferred tax assets","재무상태표 [개요]","자산 [개요]","비유동자산","이연법인세자산","6241783982","6400014324","6194222225","3965601340","5981328672","4106547848","883831622","3100328268"
16,"ifrs-full_Assets","자산총계","Total assets","재무상태표 [개요]","자산 [개요]","자산총계",NA,"564972408621","461136459052","447804486939","433807800192","376357481746","370847432479","367225133428","324604536650"
17,"ifrs-full_CurrentLiabilities","유동부채","Current liabilities","재무상태표 [개요]","부채 [개요]","유동부채",NA,"106133854638","75562338929","66461302426","67494002399","55714626995","60798281590","60716648749","55452075959"
18,"ifrs-full_TradeAndOtherCurrentPayables","매입채무 및 기타유동채무","Trade and other current payables","재무상태표 [개요]","부채 [개요]","유동부채","매입채무 및 기타유동채무","76584392553","57152574195","44620405943","40772410559","37460664873","48105441435","38523162422","44105545527"
19,"ifrs-full_ShorttermBorrowings","단기차입금","Current borrowings","재무상태표 [개요]","부채 [개요]","유동부채","단기차입금","14669995458","2500000000","4500000000","9800000000","0","0",NA,NA
20,"entity00119195_udf_BS_202431510648718OfCurrentLiabilities","기타유동금융부채","Other current financial liabilities","재무상태표 [개요]","부채 [개요]","유동부채","기타유동금융부채","5246092","0","0",NA,NA,NA,NA,NA
21,"dart_PaymentsOfIncomeTaxesPayable","미지급법인세","Payments of income taxes payable","재무상태표 [개요]","부채 [개요]","유동부채","미지급법인세","2224450032","2932438938","4481499633","6233632827","6473232593","2852377487","13874104532","3839910170"
22,"dart_CurrentPortionOfConvertibleRedeemablePreferredStockLiabilities","상환전환우선주부채","Current portion of convertible redeemable preferred stock liabilities","재무상태표 [개요]","부채 [개요]","유동부채","상환전환우선주부채","1154319495","1154319495","1154319495","1154319495","0","0",NA,NA
23,"dart_CurrentDerivativeLiabilities","유동파생상품부채","Current derivative liabilities","재무상태표 [개요]","부채 [개요]","유동부채","유동파생상품부채","5450328","77424135","20539206","95015933","0","0",NA,NA
24,"ifrs-full_OtherCurrentLiabilities","기타 유동부채","Other current liabilities","재무상태표 [개요]","부채 [개요]","유동부채","기타 유동부채","11490000680","11745582166","11684538149","9438623585","11780729529","9840462668","8319381795","7506620262"
25,"ifrs-full_NoncurrentLiabilities","비유동부채","Non-current liabilities","재무상태표 [개요]","부채 [개요]","비유동부채",NA,"51782188236","6900869162","21209964719","23631557354","20934462127","13528444578","9563756250","16227160789"
26,"dart_LongTermTradeAndOtherNonCurrentPayables","장기매입채무 및 기타비유동채무","Long-term trade and other non-current payables","재무상태표 [개요]","부채 [개요]","비유동부채","장기매입채무 및 기타비유동채무","13652850922","3640180711","3783827886","6033717608","6611124013","1272979438","0","0"
27,"dart_LongTermBorrowingsGross","장기차입금","Long-term borrowings, gross","재무상태표 [개요]","부채 [개요]","비유동부채","장기차입금","16127680000","477127738","3459527820","0",NA,NA,NA,NA
28,"ifrs-full_OtherNoncurrentFinancialLiabilities","기타비유동금융부채","Other non-current financial liabilities","재무상태표 [개요]","부채 [개요]","비유동부채","기타비유동금융부채","10531095480","338000000","448000000","458000000","246000000","246000000","239300000","249300000"
29,"dart_PresentValueOfDefinedBenefitObligation","확정급여채무","defined benefit obligation","재무상태표 [개요]","부채 [개요]","비유동부채","확정급여채무","4113271888","73138755","10519356130","14357905173","13776108305","12009465140","9324456250","15977860789"
30,"entity00119195_udf_BS_2020313161339835_NoncurrentLiabilities","비지배지분부채","Debt of Non-controlling interests","재무상태표 [개요]","부채 [개요]","비유동부채","비지배지분부채","259179740","253386797","255886068","305913847","301229809","0","0",NA
31,"ifrs-full_DeferredTaxLiabilities","이연법인세부채","Deferred tax liabilities","재무상태표 [개요]","부채 [개요]","비유동부채","이연법인세부채","6772181301","2096162899","2702894635","2476020726","0","0",NA,NA
32,"ifrs-full_OtherNoncurrentLiabilities","기타 비유동 부채","Other non-current liabilities","재무상태표 [개요]","부채 [개요]","비유동부채","기타 비유동 부채","325928905","22872262","40472180","0",NA,NA,NA,NA
33,"ifrs-full_Liabilities","부채총계","Total liabilities","재무상태표 [개요]","부채 [개요]","부채총계",NA,"157916042874","82463208091","87671267145","91125559753","76649089122","74326726168","70280404999","71679236748"
34,"ifrs-full_EquityAttributableToOwnersOfParent","지배기업의 소유주에게 귀속되는 자본","Equity attributable to owners of parent","재무상태표 [개요]","자본 [개요]","지배기업의 소유주에게 귀속되는 자본",NA,"371779502627","364400426783","346934924339","331255514556","299708392624","296211100117","296944728429","252925299902"
35,"ifrs-full_IssuedCapital","자본금","Issued capital","재무상태표 [개요]","자본 [개요]","지배기업의 소유주에게 귀속되는 자본","자본금","27931470000","27931470000","27931470000","27931470000","27931470000","27931470000","27931470000","27931470000"
36,"dart_CapitalSurplus","자본잉여금","Capital surplus","재무상태표 [개요]","자본 [개요]","지배기업의 소유주에게 귀속되는 자본","자본잉여금","17756625267","27544865367","27544865367","27069234981","27069234981","27069234981","27069234981","27005250981"
37,"ifrs-full_TreasuryShares","자기주식","Treasury shares","재무상태표 [개요]","자본 [개요]","지배기업의 소유주에게 귀속되는 자본","자기주식","-1587051924","-1965353910","-1965353910","-2521453524","-2521453524","-2521453524","-2521453524","-1961076388"
38,"dart_OtherComprehensiveIncomeLossAccumulatedAmount","기타포괄손익누계액","Other Comprehensive income/loss accumulated amount","재무상태표 [개요]","자본 [개요]","지배기업의 소유주에게 귀속되는 자본","기타포괄손익누계액","-2189281679","-1082771217","3094920893","8531484205","1667040926","1464724509","4567827460","2753736283"
39,"ifrs-full_RetainedEarnings","이익잉여금(결손금)","Retained earnings (deficit)","재무상태표 [개요]","자본 [개요]","지배기업의 소유주에게 귀속되는 자본","이익잉여금(결손금)","329867740963","311972216543","290329021989","270244778894","245562100241","242267124151","239897649512","197195919026"
40,"ifrs-full_NoncontrollingInterests","비지배지분","Non-controlling interests","재무상태표 [개요]","자본 [개요]","비지배지분",NA,"35276863120","14272824178","13198295455","11426725883","0","309606194","0","0"
41,"ifrs-full_Equity","자본총계","Total equity","재무상태표 [개요]","자본 [개요]","자본총계",NA,"407056365747","378673250961","360133219794","342682240439","299708392624","296520706311","296944728429","252925299902"
42,"ifrs-full_EquityAndLiabilities","자본과부채총계","Total equity and liabilities","재무상태표 [개요]","자본과부채총계",NA,NA,"564972408621","461136459052","447804486939","433807800192","376357481746","370847432479","367225133428","324604536650"
