"Data_cf....1","Data_cf..D520000..현금흐름표..간접법...연결...Statement.of.cash.flows..indirect.method...Consolidated.financial.statements..Unit..KRW.","Data_cf....3","Data_cf....4","Data_cf....5","Data_cf....6","Data_cf....7","Data_cf....8","Data_cf.20230101.20231231","Data_cf.20220101.20221231","Data_cf.20210101.20211231","Data_cf.20200101.20201231","Data_cf.20190101.20191231","Data_cf.20180101.20181231","Data_cf.20170101.20171231","Data_cf.20160101.20161231"
NA,"concept_id","label_ko","label_en","class0","class1","class2","class3","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"ifrs-full_CashFlowsFromUsedInOperatingActivities","영업활동현금흐름","Cash flows from (used in) operating activities","현금흐름표 [개요]","영업활동현금흐름",NA,NA,"29166607898","29220766689","36031211868","52228225089","13284966205","-4360077740","-16519974691","25482187954"
1,"ifrs-full_ProfitLoss","당기순이익(손실)","Profit (loss)","현금흐름표 [개요]","영업활동현금흐름","당기순이익(손실)",NA,"28237045586","21591210925","19582802208","28715102080","9107598208","9188167318","47009013175","26254318411"
2,"ifrs-full_AdjustmentsForReconcileProfitLoss","비현금항목조정","Adjustments to reconcile profit (loss)","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정",NA,"14809801753","31515181290","28328025540","14734969960","23933276605","23604088795","-16819394664","25962444891"
3,"dart_AdjustmentsForProvisionForSeveranceIndemnities","퇴직급여","Adjustments for provision for severance indemnities","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","퇴직급여","5213748480","6079002948","6507903420","6764682900","5983703976","6219146796","5069385480","5074739928"
4,"dart_AdjustmentsForBadDebtExpenses","대손상각비(환입)","Adjustments(reversals) for bad debt expenses","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","대손상각비(환입)","1117379537","259197849","981109","195527355","1115122603","78597531","138742735","-55628437"
5,"ifrs-full_AdjustmentsForDepreciationExpense","감가상각비","Adjustments for depreciation expense","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","감가상각비","12484181800","11043932466","10578358108","9527498175","10440148112","10341658766","10572876962","10783366452"
6,"ifrs-full_AdjustmentsForAmortisationExpense","무형자산상각비","Adjustments for amortisation expense","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","무형자산상각비","1411848910","1465191187","1514632251","1179476889","1044530973","1015521235","928236944","960349322"
7,"dart_AdjustmentsForOtherBadDebtExpenses","기타의 대손상각비","Adjustments for other bad debt expenses","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","기타의 대손상각비","110064862","0","-2151160","75044249","35094137","-3397636","189280670","0"
8,"dart_AdjustmentsForGainsOnEvaluationOfFairValueFinancialAssets","당기손익인식금융자산평가이익","Adjustments for gains on evaluation of fair value financial assets","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","당기손익인식금융자산평가이익","0","0","385000000","844718720","63320783","85833049","0","0"
9,"dart_AdjustmentsForLossesOnEvaluationOfFairValueFinancialAssets","당기손익인식금융자산평가손실","losses on evaluation of fair value financial assets","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","당기손익인식금융자산평가손실","1507118357","70000000","15384615","0","0",NA,"-3262224","0"
10,"entity00119195_ProfitFromDisposalOfFinancialAssetsRecognizedAsProfitOrLossOfAdjustmentsForReconcileProfitLoss","당기손익인식금융자산처분이익","Profit from disposal of financial assets recognized as profit or loss","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","당기손익인식금융자산처분이익","0","-65988970","-344548103","523609821","9834485","54083364","0","1548800000"
11,"entity00119195_udf_CF_2019324153117729_AdjustmentsForReconcileProfitLoss","장기금융상품평가이익","Adjustments for gain on long term of finance instruments","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","장기금융상품평가이익","-9148122494","-420205611","-993101564","1199789229","290868465","535955987","0","0"
12,"entity00119195_udf_CF_2022512102344166_AdjustmentsForReconcileProfitLoss","장기금융상품평가손실","Adjustments for loss on long term of finance instruments","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","장기금융상품평가손실","364242170","4922395587","12924800","0","539690460","95960000","0","-1650738942"
13,"dart_AdjustmentsForGainsOnDisposalsOfFinancialAssets","장기금융자산처분이익","Adjustments for gains on disposals of financial assets","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","장기금융자산처분이익","-2157375485","-0","-106582122","0",NA,NA,NA,NA
14,"ifrs-full_AdjustmentsForInterestIncome","이자수익","Adjustments for interest income","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","이자수익","-3252815043","-2387661782","-1067918031","1839703136","1942690796","2116705822","1166841917","856903940"
15,"entity00119195_udf_CF_2022512103122417_AdjustmentsForReconcileProfitLoss","배당금수익","dividend revenue","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","배당금수익","-3430249211","-105000000","-676405311","0","0","-51211927","-69225000","-104975000"
16,"dart_AdjustmentsForGainOnForeignExchangeTranslations","외화환산이익","Adjustments for gain on foreign exchange translations","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","외화환산이익","-178035148","-263671738","-235505904","22893524","44389599","5330307","4961596","19695038"
17,"dart_AdjustmentsForLossesOnForeignExchangeTranslations","외화환산손실","losses on foreign exchange translations","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","외화환산손실","232227741","428434641","33600816","393387043","25768953","22566392","36611629","4106211615"
18,"entity00119195_udf_CF_20193241591764_AdjustmentsForReconcileProfitLoss","재고자산폐기손실","Adjustments for losses on abandonment of inverntories","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","재고자산폐기손실","2690986996","5670245401","2329603000","2621221719","6617195929","4340609521","2765864825","0"
19,"dart_AdjustmentsForWritedownsOfInventories","재고자산평가손실","Adjustments for write-downs of inventories","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","재고자산평가손실","244284044","-2105193908","2374169441","291796394","-781777062","337041682","789663065","796458"
20,"dart_AdjustmentsForImpairmentLossesOfIntangibleAssets","무형자산손상차손","impairment losses of intangible assets","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","무형자산손상차손","360070763","3538003625","280094949","79910046","0","120195500","0","555899415"
21,"dart_AdjustmentsForReversalsOfImpairmentLossesOnIntangibleAssets","무형자산손상차손환입","reversals of impairment losses on intangible assets","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","무형자산손상차손환입","-6666667","-59999999","-63333334","40000000","70000000","21250000","0","-9617237"
22,"dart_AdjustmentsForGainOnDispositionOfTangibleAssets","유형자산처분이익","gain on disposition of tangible assets","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","유형자산처분이익","-43332471","-354088276","-318493203","7596200030","0","1998000","54549448585","250209323"
23,"dart_AdjustmentsForLossesOnDispositionOfPropertyPlantAndEquipment","유형자산처분손실","losses on disposition of property plant and equipment","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","유형자산처분손실","14574511","136810605","164836458","134395646","2889493","6335505","28424515","0"
24,"entity00119195_udf_CF_202431512246965OfAdjustmentsForReconcileProfitLoss","사용권자산손상차손","Adjustments for impairment losses of intangible assets","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","사용권자산손상차손","138573814","0","0",NA,NA,NA,NA,NA
25,"dart_AdjustmentsForGainsOnDisposalsOfInvestmentProperty","투자부동산처분이익","Adjustments for gains on disposals of investment property","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","투자부동산처분이익","-0","-527781303","-34685150","0","0",NA,NA,NA
26,"dart_AdjustmentsForLossesOnDisposalsOfInvestmentProperty","투자부동산처분손실","losses on disposals of investment property","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","투자부동산처분손실","0","3171288","18878667","0","0",NA,NA,NA
27,"dart_AdjustmentsForGainsOnEvaluationOfDerivativeFinancialAssets","파생금융자산평가이익","Adjustments for gains on evaluation of derivative financial assets","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","파생금융자산평가이익","-71973807","-0","-74476727","0","0",NA,NA,NA
28,"dart_AdjustmentsForLossesOnEvaluationOfDerivativeFinancialAssets","파생금융자산평가손실","Adjustments for losses on evaluation of derivative financial assets","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","파생금융자산평가손실","0","56884929","0","24156411","0","0",NA,NA
29,"dart_AdjustmentsForProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod","지분법이익","Adjustments for profits of associates and joint ventures accounted for using equity method","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","지분법이익","-2420360402","-0","-0",NA,"149812519","665174548","319501948","450047560"
30,"entity00119195_LicensedAssetsOfAdjustmentsForReconcileProfitLoss","사용권자산","Licensed assets","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","사용권자산","0","0","99317963","0","0",NA,NA,NA
31,"dart_AdjustmentsForLossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod","지분법손실","losses of associates and joint ventures accounted for using equity method","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","지분법손실","0","585353724","410400901","114105343","561740544","344636388","102923660","0"
32,"dart_AdjustmentsForShareBasedPayment","주식보상비용(환입)","Adjustments for share-based payment","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","주식보상비용(환입)","76107798","0","0",NA,NA,NA,NA,NA
33,"entity00119195_LossOnImpairmentOfInvestmentStocksOfAffiliatesOfAdjustmentsForReconcileProfitLoss","관계기업투자주식손상차손","Loss on impairment of investment stocks of affiliates","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","관계기업투자주식손상차손","0","1683932081","-105412526","0","-6497013199","0","0",NA
34,"dart_AdjustmentsForInterestExpenses","이자비용","Interest expenses","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","이자비용","308009854","370003647","383110529","292153901","206954837","0","0","7704925"
35,"ifrs-full_AdjustmentsForIncomeTaxExpense","법인세비용","income tax expense","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","법인세비용","8718534204","1494337262","6944486654","4923177779","7133274235","4222760119","18209729322","9400757779"
36,"entity00119195_AdjustmentsForWarrantyExpensesOfAdjustmentsForReconcileProfitLoss","복리후생비","welfare expense","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","복리후생비","0","0","1031730000","0","0",NA,"380120000","0"
37,"entity00119195_udf_CF_2024315123620821OfAdjustmentsForReconcileProfitLoss","수선비","Adjustments for warranty expenses","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","수선비","0","0","61780000","0","0",NA,"81986799","0"
38,"entity00119195_udf_CF_202031318391139_AdjustmentsForReconcileProfitLoss","기타비용","other costs","현금흐름표 [개요]","영업활동현금흐름","비현금항목조정","기타비용","526778640","-2124363","-26555006","178616568","76869261","0","0",NA
39,"dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities","영업활동으로 인한 자산 부채의 변동","Adjustments for assets and liabilities of operating activities","현금흐름표 [개요]","영업활동현금흐름","영업활동으로 인한 자산 부채의 변동",NA,"-19296656811","-18086291331","-4035377243","11363901055","-16673727415","-22447845865","-41682754610","-25687060294"
40,"ifrs-full_AdjustmentsForDecreaseIncreaseInTradeAccountReceivable","매출채권의 감소(증가)","Adjustments for decrease (increase) in trade accounts receivable","현금흐름표 [개요]","영업활동현금흐름","영업활동으로 인한 자산 부채의 변동","매출채권의 감소(증가)","-4389594620","-5258997402","1588669827","18893535138","1632912176","-12498092285","-8027626403","-796194229"
41,"ifrs-full_AdjustmentsForDecreaseIncreaseInTradeAndOtherReceivables","기타채권의 감소(증가)","Adjustments for decrease (increase) in trade and other receivables","현금흐름표 [개요]","영업활동현금흐름","영업활동으로 인한 자산 부채의 변동","기타채권의 감소(증가)","88929951","-377048724","-837856054","5152435943","-3605314048","-517757892","-909073327","764964324"
42,"ifrs-full_AdjustmentsForDecreaseIncreaseInInventories","재고자산의 감소(증가)","Adjustments for decrease (increase) in inventories","현금흐름표 [개요]","영업활동현금흐름","영업활동으로 인한 자산 부채의 변동","재고자산의 감소(증가)","-12307597637","-14104474701","-1443363006","-5580563000","4451391783","-11789010851","-13584444410","-2881869107"
43,"ifrs-full_AdjustmentsForDecreaseIncreaseInOtherCurrentAssets","기타유동자산의 감소(증가) 조정","Adjustments for decrease (increase) in other current assets","현금흐름표 [개요]","영업활동현금흐름","영업활동으로 인한 자산 부채의 변동","기타유동자산의 감소(증가) 조정","646310617","-1846125112","-385568217","1113907790","-803415470","485983375","-1081561837","-119992437"
44,"ifrs-full_AdjustmentsForIncreaseDecreaseInTradeAccountPayable","매입채무의 증가(감소)","Adjustments for increase (decrease) in trade accounts payable","현금흐름표 [개요]","영업활동현금흐름","영업활동으로 인한 자산 부채의 변동","매입채무의 증가(감소)","2801898746","5014096205","-1532386762","436480344","-12642575478","8190227828","-3890689397","8497856376"
