"Data_cis....1","Data_cis..D431410..단일.포괄손익계산서..기능별.분류..세후...연결...Statement.of.comprehensive.income..by.function.of.expense...Consolidated.financial.statements..Unit..KRW.","Data_cis....3","Data_cis....4","Data_cis....5","Data_cis....6","Data_cis....7","Data_cis....8","Data_cis.20230101.20231231","Data_cis.20220101.20221231","Data_cis.20210101.20211231","Data_cis.20200101.20201231","Data_cis.20190101.20191231","Data_cis.20180101.20181231","Data_cis.20170101.20171231","Data_cis.20160101.20161231"
NA,"concept_id","label_ko","label_en","class0","class1","class2","class3","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"ifrs-full_Revenue","수익(매출액)","Revenue","포괄손익계산서 [개요]","수익(매출액)",NA,NA,"361108562008","340426327300","293018112028","272075383799","307150025786","306602589029","258881616575","237470834801"
1,"ifrs-full_CostOfSales","매출원가","Cost of sales","포괄손익계산서 [개요]","매출원가",NA,NA,"170692715924","159436067278","143671124291","133409429487","185553539960","191035174524","150798015134","134293445327"
2,"ifrs-full_GrossProfit","매출총이익","Gross profit","포괄손익계산서 [개요]","매출총이익",NA,NA,"190415846084","180990260022","149346987737","138665954312","121596485826","115567414505","108083601441","103177389474"
3,"dart_TotalSellingGeneralAdministrativeExpenses","판매비와관리비","Selling general administrative expenses","포괄손익계산서 [개요]","판매비와관리비",NA,NA,"150091576121","131790612999","109512522877","98600511863","95713549438","89728011902","83018259314","78200649664"
4,"entity00119195_udf_IS_2019324131845941_StatementOfComprehensiveIncomeAbstract","연구개발비","research and development cost","포괄손익계산서 [개요]","연구개발비",NA,NA,"21548389842","19284569141","17338113884","16912071293","16332185674","15741757505","14078033940","13717405908"
5,"dart_OperatingIncomeLoss","영업이익(손실)","Operating income(loss)","포괄손익계산서 [개요]","영업이익(손실)",NA,NA,"18775880121","29915077882","22496350976","23153371156","9550750714","10097645098","10987308187","11259333902"
6,"dart_OtherGains","기타이익","Other gains","포괄손익계산서 [개요]","기타이익",NA,NA,"1384056644","2077612124","1575896446","7981204130","7071598685","440612214","54818643392","25415785727"
7,"dart_OtherLosses","기타손실","Other losses","포괄손익계산서 [개요]","기타손실",NA,NA,"1883662775","4229295413","1058528123","967794576","1522684917","241131399","1967166112","3991722823"
8,"ifrs-full_FinanceIncome","금융수익","Finance income","포괄손익계산서 [개요]","금융수익",NA,NA,"19353063661","4194696259","4525979388","4564272678","2509166305","3034177786","1360602365","2679192605"
9,"ifrs-full_FinanceCosts","금융원가","Finance costs","포괄손익계산서 [개요]","금융원가",NA,NA,"3094118263","6603256860","602008924","978668186","956030319","240914422","197223623","157560781"
10,"entity00119195_udf_IS_201932413654517_StatementOfComprehensiveIncomeAbstract","지분법손익","profit and loss ofequity method","포괄손익계산서 [개요]","지분법손익",NA,NA,"2420360402","-2269285805","-410400901","-114105343","-411928025","320538160","216578288","450047560"
11,"ifrs-full_ProfitLossBeforeTax","법인세비용차감전순이익(손실)","Profit (loss) before tax","포괄손익계산서 [개요]","법인세비용차감전순이익(손실)",NA,NA,"36955579790","23085548187","26527288862","33638279859","16240872443","13410927437","65218742497","35655076190"
12,"ifrs-full_IncomeTaxExpenseContinuingOperations","법인세비용(수익)","Tax expense (income)","포괄손익계산서 [개요]","법인세비용(수익)",NA,NA,"8718534204","1494337262","6944486654","-4923177779","-7133274235","-4222760119","-18209729322","-9400757779"
13,"ifrs-full_ProfitLoss","당기순이익(손실)","Profit (loss)","포괄손익계산서 [개요]","당기순이익(손실)",NA,NA,"28237045586","21591210925","19582802208","28715102080","9107598208","9188167318","47009013175","26254318411"
14,"ifrs-full_OtherComprehensiveIncome","기타포괄손익","Other comprehensive income","포괄손익계산서 [개요]","기타포괄손익",NA,NA,"-5697919174","1928564371","1755810768","6349833897","-2305754486","-5246265065","549928788","-1233582534"
15,"ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax","당기손익으로 재분류되지 않는항목(세후기타포괄손익)","Other comprehensive income that will not be reclassified to profit or loss, net of tax","포괄손익계산서 [개요]","기타포괄손익","당기손익으로 재분류되지 않는항목(세후기타포괄손익)",NA,"-5600503059","2269268774","1624457630","6388716466","-1674682243","-5246252338","-1264162389","-1040581593"
16,"ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans","확정급여제도의 재측정손익(세후기타포괄손익)","Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans","포괄손익계산서 [개요]","기타포괄손익","당기손익으로 재분류되지 않는항목(세후기타포괄손익)","확정급여제도의 재측정손익(세후기타포괄손익)","-4560521941","6241978981","2436786697","-512081105","-2508070903","-2143162114","-1264162389","-1040581593"
17,"entity00119195_udf_IS_201932413122685_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax","기타포손익-공정가치측정지분상품평가손익","Gains (losses) on financial assets measured at fair value through other comprehensive income, net of tax","포괄손익계산서 [개요]","기타포괄손익","당기손익으로 재분류되지 않는항목(세후기타포괄손익)","기타포손익-공정가치측정지분상품평가손익","-1039981118","-3972710207","-812329067","6900797571","833388660","-3103090224","0","0"
18,"ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax","당기손익으로 재분류될 수 있는 항목(세후기타포괄손익)","Other comprehensive income that will be reclassified to profit or loss, net of tax","포괄손익계산서 [개요]","기타포괄손익","당기손익으로 재분류될 수 있는 항목(세후기타포괄손익)",NA,"-97416115","-340704403","131353138","-38882569","-631072243","-12727","1814091177","-193000941"
19,"ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax","지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익)","Share of other comprehensive income of associates and joint ventures accounted for using equity method that will be reclassified to profit or loss, net of tax","포괄손익계산서 [개요]","기타포괄손익","당기손익으로 재분류될 수 있는 항목(세후기타포괄손익)","지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익)","0","-244749304","276129633","-75296595","-631072243","-12727","24039","32523"
20,"ifrs-full_ReclassificationAdjustmentsOnExchangeDifferencesOnTranslationNetOfTax","해외사업장환산손익","Reclassification adjustments on exchange differences on translation, net of tax","포괄손익계산서 [개요]","기타포괄손익","당기손익으로 재분류될 수 있는 항목(세후기타포괄손익)","해외사업장환산손익","-97416115","-95955099","-144776495","36414026","-0","-0",NA,NA
21,"ifrs-full_ComprehensiveIncome","총포괄손익","Total comprehensive income","포괄손익계산서 [개요]","총포괄손익",NA,NA,"22539126412","23519775296","21338612976","35064935977","6801843722","3941902253","47558941963","25020735877"
22,"ifrs-full_ProfitLossAttributableToOwnersOfParent","지배기업 소유주지분","Profit (loss), attributable to owners of parent","포괄손익계산서 [개요]","당기순이익(손실)의 귀속 [개요]","지배기업 소유주지분",NA,"27438289761","20383458973","17870404587","28507687358","9115974593","9188561124","47009013175","26254318411"
23,"ifrs-full_ProfitLossAttributableToNoncontrollingInterests","비지배지분","Profit (loss), attributable to non-controlling interests","포괄손익계산서 [개요]","당기순이익(손실)의 귀속 [개요]","비지배지분",NA,"798755825","1207751952","1712397621","207414722","-8376385","-393806","0","0"
24,"ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent","지배기업 소유주지분","Comprehensive income, attributable to owners of parent","포괄손익계산서 [개요]","포괄손익의 귀속 [개요]","지배기업 소유주지분",NA,"21771257358","22447745844","19617071183","34860049531","6810220107","3942296059","47558941963","25020735877"
25,"ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests","비지배지분","Comprehensive income, attributable to non-controlling interests","포괄손익계산서 [개요]","포괄손익의 귀속 [개요]","비지배지분",NA,"767869054","1072029452","1721541793","204886446","-8376385","-393806","0","0"
26,"ifrs-full_BasicEarningsLossPerShare","기본주당이익(손실)","Basic earnings (loss) per share","포괄손익계산서 [개요]","주당이익 [개요]","기본주당이익(손실)",NA,"991","736","647","1033","330","333","1700","949"
27,"ifrs-full_DilutedEarningsLossPerShare","희석주당이익(손실)","Diluted earnings (loss) per share","포괄손익계산서 [개요]","주당이익 [개요]","희석주당이익(손실)",NA,"991","736","647","1033","330","333",NA,NA
